"F_TAZ","T_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT"
3,238,0.13,10.85,8.74,10.85,8.74,48.331797235023,1.1362,0.0235083333333333
3,318,0.16,8.82,7.54,8.82,7.54,51.2925170068027,1.2064,0.02352
3,327,0.23,13.84,11.71,13.84,11.71,50.7658959537572,2.6933,0.0530533333333333
3,344,0.54,11.49,9.77,11.49,9.77,51.0182767624021,5.2758,0.10341
3,345,0.07,11.11,9.02,11.11,9.02,48.7128712871287,0.6314,0.0129616666666667
4,142,0.07,13.21,8.32,13.21,8.32,37.7895533686601,0.5824,0.0154116666666667
4,149,0.29,9.07,7.4,9.07,7.4,48.9525909592062,2.146,0.0438383333333333
4,151,0.46,10.6,8.29,10.6,8.29,46.9245283018868,3.8134,0.0812666666666667
4,152,0.15,12.39,9.97,12.39,9.97,48.2808716707022,1.4955,0.030975
4,154,0.34,11.49,9.7,11.49,9.7,50.6527415143603,3.298,0.06511
4,155,0.03,13.14,10.82,13.14,10.82,49.4063926940639,0.3246,0.00657
4,158,0.03,14.62,11.94,14.62,11.94,49.0013679890561,0.3582,0.00731
4,164,0.16,11.22,8.2,11.72,8.25,43.8502673796791,1.312,0.02992
4,222,0.12,10.96,8.69,10.96,8.69,47.5729927007299,1.0428,0.02192
4,223,0.02,11.53,9.68,11.53,9.68,50.3729401561145,0.1936,0.00384333333333333
4,226,0.04,11.32,8.74,11.32,8.74,46.3250883392226,0.3496,0.00754666666666667
4,227,0.06,10.93,8.71,10.93,8.71,47.8133577310156,0.5226,0.01093
4,228,0.02,8.91,7.34,8.91,7.34,49.4276094276094,0.1468,0.00297
4,229,0.07,11.4,9.74,11.4,9.74,51.2631578947368,0.6818,0.0133
4,237,0.02,13.83,11.06,13.83,11.06,47.9826464208243,0.2212,0.00461
4,238,0.08,11.22,8.9,11.22,8.9,47.5935828877005,0.712,0.01496
4,318,0.21,9.19,7.7,9.19,7.7,50.272034820457,1.617,0.032165
4,327,0.27,14.22,11.86,14.22,11.86,50.042194092827,3.2022,0.06399
4,344,0.11,11.86,9.93,11.86,9.93,50.2360876897133,1.0923,0.0217433333333333
4,345,0.02,11.48,9.18,11.48,9.18,47.9790940766551,0.1836,0.00382666666666667
5,142,1.3,13.9,8.61,13.9,8.61,37.1654676258993,11.193,0.301166666666667
5,149,5.33,9.56,7.8,9.58,7.8,48.9539748953975,41.574,0.849246666666667
5,150,0.14,10.37,8.27,10.38,8.27,47.8495660559306,1.1578,0.0241966666666667
5,151,8.33,11.08,8.69,11.1,8.69,47.057761732852,72.3877,1.53827333333333
5,152,2.65,12.88,10.37,12.9,10.37,48.3074534161491,27.4805,0.568866666666667
5,153,0.01,14.71,11.17,14.73,11.17,45.5608429639701,0.1117,0.00245166666666667
5,154,6.93,11.98,10.1,12,10.1,50.584307178631,69.993,1.38369
5,155,0.55,13.63,11.21,13.65,11.21,49.3470286133529,6.1655,0.124941666666667
5,158,0.56,15.1,12.34,15.12,12.34,49.0331125827815,6.9104,0.140933333333333
5,164,3.99,10.78,8.01,11.75,8.02,44.582560296846,31.9599,0.71687
5,222,2.22,11.45,9.09,11.46,9.09,47.6331877729258,20.1798,0.42365
5,223,0.41,12.01,10.08,12.03,10.08,50.3580349708576,4.1328,0.0820683333333333
5,224,0.15,11.63,9.08,11.64,9.08,46.8443680137575,1.362,0.029075
5,226,0.78,11.8,9.14,11.82,9.14,46.4745762711864,7.1292,0.1534
5,227,1.08,11.42,9.11,11.44,9.11,47.8633975481611,9.8388,0.20556
5,228,0.28,9.4,7.74,9.42,7.74,49.4042553191489,2.1672,0.0438666666666667
5,229,1.12,11.89,10.14,11.91,10.14,51.1690496215307,11.3568,0.221946666666667
5,237,0.37,14.32,11.46,14.34,11.46,48.0167597765363,4.2402,0.0883066666666667
5,238,1.51,11.71,9.3,11.73,9.3,47.6515798462852,14.043,0.294701666666667
5,318,3.76,9.68,8.1,9.7,8.1,50.2066115702479,30.456,0.606613333333333
