"F_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT","LENGTH","TRIP_DENSITY","RFP_bound","CNTY_NM","RFP_zone"
180,3102.72,43210.77,27781.49,30415.67,27572.79,30.7826542822302,46399.5483,1507.32772666667,14.9544748801052,0.0668696164871933,0,"NewCa W","NCC (Outside Study Area)"
109,3117.77,51419.73,30844.42,32762.5,30455.21,31.3345792462374,45595.5588,1455.11954833333,14.6244138599063,0.0683788088589014,0,"NewCa E","NCC (Outside Study Area)"
159,3172.85,28587.81,17147.12,18364.48,16863.26,32.7606227852019,42353.7901,1292.82615833333,13.3488157650062,0.0749130123303888,0,"NewCa E","NCC (Outside Study Area)"
5,3172.99,36369.65,20708.34,22792.62,20210.59,30.4186810413595,35279.5302,1159.79815666667,11.1187019814119,0.0899385559278224,0,"NewCa E","NCC (Outside Study Area)"
143,3241.4,49237.53,30359.18,32486.23,30061.43,31.445673970892,42389.1478,1348.01206166667,13.07741957179,0.0764676849672359,0,"NewCa W","NCC (Outside Study Area)"
1,3317.14,32746.47,17755.97,19754.48,17371,29.1116794333116,36499.3052,1253.76845,11.0032453257927,0.0908822779453895,0,"NewCa E","NCC (Outside Study Area)"
174,3388.76,46765.82,28497.5,31804.42,28123.74,27.074026813355,45663.2005,1686.605425,13.4748995207687,0.0742120561610656,0,"NewCa W","NCC (Outside Study Area)"
79,3753.32,44509.09,27063.89,28406.61,26912.02,30.9667119218363,45227.6752,1460.52559,12.0500450800891,0.0829872414047937,0,"NewCa E","NCC (Outside Study Area)"
61,4093.69,39498.83,23238.33,24370.92,23120.78,31.4044041606743,47088.6156,1499.42713,11.5027311789608,0.0869358750058475,0,"NewCa E","NCC (Outside Study Area)"
118,4363.59,47455.79,29037.28,30672.53,28968.94,33.4672558428565,42219.7898,1261.525295,9.67547129771587,0.103354138442442,0,"NewCa E","NCC (Outside Study Area)"
160,5107.76,32172.43,18111.65,19186.6,17874.59,29.1307849942819,64702.9228,2221.11840833333,12.6675730261406,0.0789417197703471,0,"NewCa E","NCC (Outside Study Area)"
169,6143.8,51288.34,30757.74,34164.27,30341.32,26.3504763721429,81345.0192,3087.04169333333,13.2401802141997,0.0755276728731782,0,"NewCa W","NCC (Outside Study Area)"
69,6881.91,48286.91,29184.61,30407.58,29137.89,32.6525338582405,73330.3904,2245.77947666667,10.6555288284793,0.0938479934780219,0,"NewCa E","NCC (Outside Study Area)"
329,3.88,1139.94,628.85,767.73,609.3,29.5080564234917,29.3075,0.993203333333333,7.5534793814433,0.132389320139896,1,"NewCa E","Study Area"
225,15.76,5698.36,3582.07,4238.34,3507.31,33.5914461032545,194.9694,5.80413833333333,12.371154822335,0.0808331974145686,1,"NewCa W","Study Area"
345,129.04,11970.68,7081.08,7933.26,6993.88,32.410048733809,1471.3952,45.3993516666667,11.4026286422815,0.0876990763596347,1,"NewCa W","Study Area"
224,136.37,19816.76,12679.66,13872.02,12561.4,34.7905516441274,1961.8584,56.3905516666667,14.3862902397888,0.069510623192785,1,"NewCa W","Study Area"
153,198.11,24847.47,16390.43,18512.17,16293.76,34.6443209629763,4095.1483,118.205471666667,20.6710832365857,0.048376758419225,1,"NewCa W","Study Area"
228,286.17,11375,6395.39,6994.19,6333.75,31.6634703015762,2939.6588,92.8407016666667,10.2724212880456,0.0973480323634838,1,"NewCa E","Study Area"
223,466.09,14048.02,7911.83,8733.63,7859.75,30.8198473197112,5789.9136,187.86315,12.4223081379133,0.0805003376907041,1,"NewCa W","Study Area"
155,529.06,32431.22,20381.62,22769.88,20232.43,31.9568443679326,7797.7162,244.007703333333,14.738812611046,0.0678480706953659,1,"NewCa W","Study Area"
150,627.08,33161.43,21225.86,22925.85,21282.4,34.5417884790542,8741.674,253.075315,13.9402851310838,0.0717345442074367,1,"NewCa E","Study Area"
237,692.25,33004.89,20784.73,23051.73,20555.11,30.2392612538132,9355.6316,309.38691,13.5148163235825,0.0739928664997882,1,"NewCa E","Study Area"
344,761.06,32580.19,20644.23,22181.76,20533.23,33.5747207434038,10243.8051,305.1047,13.4599178776969,0.0742946583394094,1,"NewCa W","Study Area"
229,978.71,18389.3,10636.7,11328.31,10515,32.0400784029128,12465.8246,389.069728333333,12.7369952284129,0.0785114528243884,1,"NewCa W","Study Area"
158,1117.84,39469.41,24779.39,27786.25,24498.46,30.7735401680025,18982.6303,616.849091666667,16.9815271416303,0.0588875188703433,1,"NewCa W","Study Area"
238,1121.35,26718.21,16288.05,17714.21,16284.81,31.3971167209991,12957.366,412.692863333333,11.5551487046863,0.0865415085133815,1,"NewCa E","Study Area"
226,1128.07,19125.4,11015.98,11779.7,10913.16,30.9583919763288,13614.0297,439.752481666667,12.068426338791,0.0828608446476358,1,"NewCa E","Study Area"
222,1448.84,24972.27,14981.63,15971.69,14790.29,31.3518069637382,18656.0485,595.054968333333,12.8765415780901,0.0776606042806975,1,"NewCa W","Study Area"
164,1532.56,39049.26,25044.86,26714.46,24818.43,33.7059740825411,20844.208,618.412865,13.6009082841781,0.0735245013866682,1,"NewCa E","Study Area"
142,1599.22,45013.73,28134.14,30120,27859.41,32.395175956117,23208.1657,716.408076666667,14.5121782493966,0.0689076431404486,1,"NewCa W","Study Area"
154,1913.77,41762.61,26505.47,28514.89,26382.5,33.1806520195838,27506.0921,828.979855,14.3727261374146,0.0695762230796864,1,"NewCa W","Study Area"
318,1964.31,41241.14,26698.22,27648.73,26600.14,33.7761818507991,25892.9654,766.604275,13.1817103206724,0.075862689717262,1,"NewCa W","Study Area"
149,2699.92,24851.62,14949.14,15453.09,14871.9,32.2130869690091,31411.2154,975.107273333333,11.634128196391,0.0859540124639685,1,"NewCa E","Study Area"
327,2956.28,41327.97,25806.23,28391.84,25428.11,29.6875210527202,39625.9864,1334.76912166667,13.4040031390802,0.0746045781714597,1,"NewCa W","Study Area"
152,3353.88,49409.13,31829.24,34075.47,31405.71,32.7529622023402,50032.9657,1527.585975,14.9179355552375,0.0670334039383158,1,"NewCa W","Study Area"
227,3819.8,24317.39,14514.67,15123.36,14411.08,31.7683781497524,45692.4189,1438.29876,11.9619924865176,0.0835981130340202,1,"NewCa E","Study Area"
151,13937.07,59437.06,39044.41,40023.69,38839.53,32.3104253084553,187978.5262,5817.89080166667,13.4876646382633,0.0741418197160012,1,"NewCa W","Study Area"
