"F_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT","LENGTH","TRIP_DENSITY","RFP_bound","CNTY_NM","RFP_zone"
286,0.85,667.44,434.98,530.95,432.06,40.5463627848892,9.0909,0.22421,10.6951764705882,0.0935000935000935,0,"NewCa S","NCC (Outside Study Area)"
285,3.75,3947.97,2742.37,3203.47,2726.63,41.8209232050368,66.2916,1.58513,17.67776,0.0565682529913292,0,"NewCa S","NCC (Outside Study Area)"
187,5.37,4404.44,2875.57,3441.2,2859.97,36.1600645877598,86.1437,2.38228833333333,16.0416573556797,0.0623376985200311,0,"NewCa E","NCC (Outside Study Area)"
295,5.71,3031.93,2029.54,2387.78,2040.66,38.9256482170454,68.007,1.7471,11.9101576182137,0.0839619450938874,0,"NewCa S","NCC (Outside Study Area)"
287,6.27,5077.53,3559.28,4189.97,3538.12,41.8658248225692,116.7686,2.789115,18.6233811802233,0.053695942231045,0,"NewCa S","NCC (Outside Study Area)"
299,16.99,9705.34,6524.51,7865.33,6455.7,37.0394703844798,320.0109,8.63972666666667,18.8352501471454,0.0530919415557408,0,"NewCa S","NCC (Outside Study Area)"
343,17.52,10963.43,6212.44,7601.99,6167.34,27.6130137751129,255.5277,9.25388666666667,14.5849143835616,0.0685639952146088,0,"NewCa W","NCC (Outside Study Area)"
91,17.78,4276.93,2104.96,2881.9,2095.32,28.8643650871353,141.5139,4.90272,7.95916197975253,0.125641368091756,0,"NewCa E","NCC (Outside Study Area)"
268,19.05,7853.46,5202.87,6343.64,5182.74,36.3513761685046,445.3687,12.25177,23.3789343832021,0.0427735491964298,0,"NewCa S","NCC (Outside Study Area)"
294,23.38,9268.01,6253.48,7544.74,6258.31,36.1973613494912,354.943,9.80577,15.1814798973482,0.0658697311962766,0,"NewCa S","NCC (Outside Study Area)"
306,25.81,14162.71,10021.89,11764.64,10024.41,38.6233119435967,624.4189,16.1668916666667,24.1929058504456,0.0413344311006601,0,"NewCa S","NCC (Outside Study Area)"
195,27.76,10306.57,7177.52,8374.32,7156.84,41.3932991440862,501.6783,12.119795,18.071984870317,0.0553342650060806,0,"NewCa S","NCC (Outside Study Area)"
201,32.95,17650.2,12404.01,14998.56,12391.71,39.1695893164649,780.9132,19.9367216666667,23.6999453717754,0.042194190084122,0,"NewCa S","NCC (Outside Study Area)"
215,33.95,11925.07,7803.7,9611.47,7809.22,36.8267514715187,753.1682,20.45166,22.1846303387334,0.0450762525555381,0,"NewCa S","NCC (Outside Study Area)"
311,36.97,14126.9,9334.02,11094.93,9365.37,36.6897889259897,804.4501,21.9257216666667,21.7595374628077,0.0459568592259483,0,"NewCa S","NCC (Outside Study Area)"
290,37.19,12433.85,8393.25,10095.84,8330.99,36.7123938414463,647.8835,17.6475416666667,17.4209061575692,0.0574022953200691,0,"NewCa S","NCC (Outside Study Area)"
283,43.38,12236.51,8446.96,9796.01,8420.1,40.2842895135443,860.0203,21.3487766666667,19.8252720147533,0.0504406698307005,0,"NewCa S","NCC (Outside Study Area)"
292,43.48,15620.21,10951.53,12589.87,10836.98,38.4019161113063,1037.994,27.029745,23.8729070837167,0.0418884887581238,0,"NewCa S","NCC (Outside Study Area)"
301,44.45,14813.98,10335.6,12104.5,10326.97,38.3596132419077,870.6764,22.6977366666667,19.5877705286839,0.0510522623560257,0,"NewCa S","NCC (Outside Study Area)"
298,45.67,13358.15,9407.91,10935.59,9407.29,38.1788176419477,658.2926,17.2423516666667,14.4141142982264,0.0693764444564621,0,"NewCa S","NCC (Outside Study Area)"
129,48.56,14268.75,8485.71,9617.05,8483.2,33.6211420695598,582.6034,17.3284833333333,11.9975988467875,0.0833500113456255,0,"NewCa E","NCC (Outside Study Area)"
273,50.86,15344.46,10651.55,12518.77,10655.74,39.5120652847316,1036.9148,26.2429916666667,20.3876287848997,0.0490493529458737,0,"NewCa S","NCC (Outside Study Area)"
177,54.46,21887.05,12220.44,14750.91,12109.37,25.9380780699041,933.556,35.9917183333333,17.1420492104297,0.0583360826774184,0,"NewCa W","NCC (Outside Study Area)"
337,57.23,18327.71,12926.56,15217.87,12858.41,38.2411298910647,1493.1318,39.04518,26.0900192206885,0.0383288333956855,0,"NewCa S","NCC (Outside Study Area)"
289,59.11,19854.1,13678.97,16374.4,13558.2,37.7113084303633,1383.8164,36.6949983333333,23.4108678734563,0.0427152041267902,0,"NewCa S","NCC (Outside Study Area)"
214,59.16,9292.84,6243.34,7426.69,6065.54,35.0281627779176,715.1707,20.41702,12.0887542258283,0.0827215097039071,0,"NewCa S","NCC (Outside Study Area)"
330,59.35,10827.34,6721.37,7565.55,6704.68,35.0802287465119,866.1792,24.6913783333333,14.5944262847515,0.0685193087065586,0,"NewCa E","NCC (Outside Study Area)"
347,60.64,11313.18,7084,8405.23,6959.83,36.2832160536375,1188.518,32.7566883333333,19.5995712401055,0.0510215242848657,0,"NewCa W","NCC (Outside Study Area)"
203,65.86,20583.06,12808.31,15403.85,12827.52,32.9258536976397,1313.0122,39.8778483333333,19.9364136046159,0.0501594730041351,0,"NewCa W","NCC (Outside Study Area)"
205,68.58,15282.99,9100.75,11208.19,9025.13,33.4669644548047,1160.7388,34.6831216666667,16.9253251676874,0.0590830598580835,0,"NewCa W","NCC (Outside Study Area)"
305,70.42,18612.52,12849.21,14963.73,12962.44,38.3827125537763,1159.7066,30.214295,16.468426583357,0.0607222550945213,0,"NewCa S","NCC (Outside Study Area)"
196,70.82,23245.8,16519.05,19880.34,16456.04,37.8263160968378,1851.3999,48.9447583333333,26.1423312623553,0.0382521355866985,0,"NewCa S","NCC (Outside Study Area)"
288,71.48,15858.62,11231.37,12891.05,11180.86,41.4654872339014,1298.6502,31.3188216666667,18.1680218242865,0.0550417656733122,0,"NewCa S","NCC (Outside Study Area)"
198,72.02,14193.65,9799.24,11456.58,9746.28,37.1367496866045,1053.6451,28.3720333333333,14.6298958622605,0.0683531864761674,0,"NewCa S","NCC (Outside Study Area)"
3,73.08,13885.55,7491.52,8522.89,7476.01,30.4772167922266,687.3386,22.5525383333333,9.40529009304871,0.106323142625774,0,"NewCa E","NCC (Outside Study Area)"
317,73.92,22182.46,12696.23,15233.59,12601.91,28.5522167816733,1404.8808,49.2039133333333,19.0054220779221,0.0526165636258962,0,"NewCa W","NCC (Outside Study Area)"
293,75.14,18455.42,12739.71,15074.71,12651.57,38.3049374769608,1778.9814,46.4426133333333,23.6755576257652,0.0422376535246518,0,"NewCa S","NCC (Outside Study Area)"
349,75.89,16638.73,11796.81,12951.02,11793.78,40.6264766371545,1264.874,31.1342283333333,16.6672025299776,0.0599980709541029,0,"NewCa S","NCC (Outside Study Area)"
217,76.18,15738.78,10286.34,12174.07,10354.33,36.0500353727384,1200.6406,33.3048383333333,15.7605749540562,0.0634494618955914,0,"NewCa S","NCC (Outside Study Area)"
322,78.98,22535.27,16038.05,19211.67,15979.54,36.9353717384457,2079.6751,56.305785,26.3316675107622,0.0379770859400105,0,"NewCa S","NCC (Outside Study Area)"
