"F_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT","LENGTH","TRIP_DENSITY","RFP_bound","CNTY_NM","RFP_zone"
286,0.84,653.41,423.41,514.63,418.37,40.2337462700063,8.8989,0.22118,10.5939285714286,0.0943936891076425,0,"NewCa S","NCC (Outside Study Area)"
285,3.71,3966.32,2756.8,3212.34,2730.27,41.738286166349,65.773,1.57584333333333,17.7285714285714,0.056406124093473,0,"NewCa S","NCC (Outside Study Area)"
187,5.25,4343.91,2847.77,3393.69,2811.43,36.2211563669808,84.2783,2.32677,16.0530095238095,0.0622936153197205,0,"NewCa E","NCC (Outside Study Area)"
295,5.7,2981.54,1989.59,2337.03,1996.65,38.8996747699109,67.9565,1.74696833333333,11.9221929824561,0.0838771861411344,0,"NewCa S","NCC (Outside Study Area)"
287,6.05,4922.65,3459.55,4057.07,3427.39,41.8570297394347,113.6523,2.71525,18.7855041322314,0.053232534669338,0,"NewCa S","NCC (Outside Study Area)"
299,17.03,8833.57,5867.8,7126.02,5806.7,36.6836614362264,318.3347,8.67783333333333,18.6925836758661,0.0534971525253138,0,"NewCa S","NCC (Outside Study Area)"
91,17.58,4351.27,2147.4,2927.67,2135.51,28.9719298007308,142.1923,4.90793333333333,8.0882992036405,0.123635386726285,0,"NewCa E","NCC (Outside Study Area)"
343,17.59,11232.26,6359.14,7763.34,6293.58,27.9863468021883,260.3658,9.303315,14.8019215463331,0.0675587961245294,0,"NewCa W","NCC (Outside Study Area)"
268,19.13,8144.75,5383.48,6570.47,5361.82,36.3621320252753,445.0488,12.2393483333333,23.2644432828019,0.0429840502884178,0,"NewCa S","NCC (Outside Study Area)"
294,23.33,9399.23,6336.2,7637.3,6338.75,36.2016964281633,356.427,9.84558833333333,15.2776253750536,0.0654551983996723,0,"NewCa S","NCC (Outside Study Area)"
306,25.83,13886.07,9820.13,11517.65,9820.71,38.6858564932787,623.4592,16.1159466666667,24.1370189701897,0.0414301368878669,0,"NewCa S","NCC (Outside Study Area)"
195,27.65,10102.32,7029.98,8234.76,6984.23,41.4212932759707,501.0544,12.0965416666667,18.1213164556962,0.0551836287636632,0,"NewCa S","NCC (Outside Study Area)"
201,33.05,17571.7,12356.13,14927.65,12341.63,39.1960467785819,780.7439,19.918945,23.6231134644478,0.0423314226342338,0,"NewCa S","NCC (Outside Study Area)"
215,34.05,11824.52,7679.96,9501.92,7696.73,36.5501155184238,748.736,20.4851883333333,21.9893098384728,0.0454766433028464,0,"NewCa S","NCC (Outside Study Area)"
290,37.07,12628.79,8449.96,10172.37,8381.18,36.4569375673041,643.5776,17.65309,17.361143782034,0.0575998916059229,0,"NewCa S","NCC (Outside Study Area)"
311,37.18,13993.7,9182.37,10949.73,9202.19,36.5399201762951,815.7701,22.3254483333333,21.9411000537924,0.0455765662409054,0,"NewCa S","NCC (Outside Study Area)"
292,43.23,16076.34,11206.34,12873.15,11093.58,38.3045045253721,1030.8002,26.9106783333333,23.8445570205876,0.0419382922122056,0,"NewCa S","NCC (Outside Study Area)"
283,43.49,12215.52,8467.62,9824.06,8387.53,39.8350265816731,869.2196,21.820485,19.9866544033111,0.0500333862697068,0,"NewCa S","NCC (Outside Study Area)"
301,44.52,14963.81,10409.05,12146.19,10395.4,38.0796252112882,875.8984,23.00176,19.6742677448338,0.0508278129061544,0,"NewCa S","NCC (Outside Study Area)"
298,45.47,13746.25,9578.25,11116.53,9567.87,37.8214262486931,662.9564,17.5285933333333,14.5800835715857,0.0685867124896901,0,"NewCa S","NCC (Outside Study Area)"
