"F_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT","LENGTH","TRIP_DENSITY","RFP_bound","CNTY_NM","RFP_zone"
303,0.09,127.98,101.44,128.93,101.44,48.9364081062194,1.7507,0.035775,19.4522222222222,0.0514080082252813,0,"NewCa S","NCC (Outside Study Area)"
182,0.59,413.25,320.54,418.37,321.42,50.444328100727,9.7957,0.194188333333333,16.6028813559322,0.0602305093051033,0,"NewCa W","NCC (Outside Study Area)"
286,0.84,803.52,674.71,808.1,676.83,50.932141286824,13.9004,0.27292,16.5480952380952,0.0604299156858795,0,"NewCa S","NCC (Outside Study Area)"
166,0.88,452.82,364.44,461.85,365.35,50.9215770590916,13.2234,0.259681666666667,15.0265909090909,0.0665486939818806,0,"NewCa W","NCC (Outside Study Area)"
252,1.01,392.61,327.86,392.65,329.43,50.696055026623,14.9005,0.293918333333333,14.7529702970297,0.0677829603033455,0,"NewCa W","NCC (Outside Study Area)"
347,1.02,348.05,278.04,351.27,278.05,51.688535799173,15.8751,0.30713,15.5638235294118,0.064251563769677,0,"NewCa W","NCC (Outside Study Area)"
295,1.31,593.61,514.5,620.86,516.76,50.7332935164908,15.29,0.30138,11.6717557251908,0.0856769130150425,0,"NewCa S","NCC (Outside Study Area)"
178,1.47,845.33,652.34,851.53,656.26,49.7324842595521,23.0646,0.463773333333333,15.6902040816327,0.0637340339741422,0,"NewCa W","NCC (Outside Study Area)"
284,1.51,958.38,837.72,981.92,842.09,52.0706430040519,21.1399,0.405985,13.9999337748344,0.0714289093136675,0,"NewCa S","NCC (Outside Study Area)"
203,1.73,1187.08,931.99,1191.48,933.11,46.5763588255492,23.0598,0.495096666666667,13.3293641618497,0.0750223332379292,0,"NewCa W","NCC (Outside Study Area)"
322,1.84,805.1,652.32,829.06,645.49,48.5276773425037,38.4302,0.791923333333333,20.8859782608696,0.04787901181883,0,"NewCa S","NCC (Outside Study Area)"
195,1.85,557.24,498.18,563.3,499.68,52.699675088502,27.168,0.515525,14.6854054054054,0.0680948174322733,0,"NewCa S","NCC (Outside Study Area)"
330,1.94,537.98,424.87,538.34,425.83,51.7015307726158,21.9311,0.424186666666667,11.3046907216495,0.0884588552329796,0,"NewCa E","NCC (Outside Study Area)"
218,2.15,598.71,495.43,606.11,493.29,48.1584534984308,22.4542,0.466256666666667,10.4438139534884,0.0957504609382654,0,"NewCa S","NCC (Outside Study Area)"
283,2.17,837.5,759.28,856.56,762.9,53.5606676081374,32.7436,0.611336666666667,15.0892165898618,0.0662724929451862,0,"NewCa S","NCC (Outside Study Area)"
342,2.3,916.39,660.26,917.35,660.34,43.7160021643921,15.7543,0.360378333333333,6.84969565217391,0.14599188792901,0,"NewCa E","NCC (Outside Study Area)"
250,2.33,523.88,408.11,524.82,408.37,49.6597681730724,31.746,0.63927,13.6248927038627,0.0733950733950734,0,"NewCa W","NCC (Outside Study Area)"
196,2.43,1045.43,821.4,1064.31,821.23,47.3561849271327,43.998,0.929086666666667,18.1061728395062,0.0552297831719624,0,"NewCa S","NCC (Outside Study Area)"
64,2.51,1149.22,888.06,1151.94,887.6,45.4893920047147,18.5251,0.40724,7.38051792828685,0.135491846197861,0,"NewCa E","NCC (Outside Study Area)"
91,2.52,984.42,692.35,988.79,692.32,41.6217826891141,19.0899,0.458651666666667,7.57535714285714,0.132006977511668,0,"NewCa E","NCC (Outside Study Area)"
273,2.58,1476.38,1179.35,1518.22,1187.02,46.6992413187452,35.3623,0.757235,13.7063178294574,0.0729590552650704,0,"NewCa S","NCC (Outside Study Area)"
258,2.71,986.18,824.39,991.94,825.22,50.1474441571469,28.9945,0.578185,10.6990774907749,0.0934660021728259,0,"NewCa W","NCC (Outside Study Area)"
272,2.89,1511.3,1253.77,1553.61,1259.64,47.5182499184028,39.794,0.837446666666667,13.7695501730104,0.0726240136704026,0,"NewCa S","NCC (Outside Study Area)"
261,3.33,724.83,605.63,727.88,605.63,50.4170587804369,44.7343,0.887285,13.4337237237237,0.0744395240341304,0,"NewCa W","NCC (Outside Study Area)"
